list_uid,list_category,list_item
050-000001,utilities,electricity
050-000002,utilities,water
050-000003,utilities,gas
050-000004,utilities,trash
050-000005,utilities,sewer
050-000006,utilities,internet
050-000007,utilities,cable
050-000008,utilities,"hoa dues"
050-000009,utilities,"security system"
050-000010,utilities,"pest control"
050-000011,utilities,gardener
050-000012,utilities,
050-000013,utilities,
050-000014,utilities,
050-000015,utilities,
050-000016,utilities,
050-000017,utilities,
050-000018,utilities,
050-000019,utilities,other
050-000020,appliances,range
050-000021,appliances,oven
050-000022,appliances,cooktop
050-000023,appliances,refrigerator
050-000024,appliances,microwave
050-000025,appliances,dishwasher
050-000026,appliances,furnace
050-000027,appliances,"ac evaporator"
050-000028,appliances,"ac condensor"
050-000029,appliances,"range hood"
050-000030,appliances,"garbage disposal"
050-000031,appliances,freezer
050-000032,appliances,"garage door opener"
050-000033,appliances,"ceiling fan"
050-000034,appliances,"washing machine"
050-000035,appliances,dryer
050-000036,appliances,"water heater"
050-000037,appliances,furnace
050-000038,appliances,"toaster oven"
050-000039,appliances,"coffee maker"
050-000040,appliances,
050-000041,appliances,
050-000042,appliances,
050-000043,appliances,
050-000044,appliances,
050-000045,appliances,
050-000046,appliances,
050-000047,appliances,
050-000048,appliances,
050-000049,appliances,
050-000050,appliances,other
050-000051,states,AL
050-000052,states,AK
050-000053,states,AZ
050-000054,states,AR
050-000055,states,CA
050-000056,states,CO
050-000057,states,CT
050-000058,states,DE
050-000059,states,FL
050-000060,states,GA
050-000061,states,HI
050-000062,states,ID
050-000063,states,IL
050-000064,states,IN
050-000065,states,IA
050-000066,states,KS
050-000067,states,KY
050-000068,states,LA
050-000069,states,ME
050-000070,states,MD
050-000071,states,MA
050-000072,states,MI
050-000073,states,MN
050-000074,states,MS
050-000075,states,MO
050-000076,states,MT
050-000077,states,NE
050-000078,states,NV
050-000079,states,NH
050-000080,states,NJ
050-000081,states,NM
050-000082,states,NY
050-000083,states,NC
050-000084,states,ND
050-000085,states,OH
050-000086,states,OK
050-000087,states,OR
050-000088,states,PA
050-000089,states,RI
050-000090,states,SC
050-000091,states,SD
050-000092,states,TN
050-000093,states,TX
050-000094,states,UT
050-000095,states,VT
050-000096,states,VA
050-000097,states,WA
050-000098,states,WV
050-000099,states,WI
050-000100,states,WY
050-000101,relationships,self
050-000102,relationships,spouse
050-000103,relationships,son
050-000104,relationships,daughter
050-000105,relationships,parent
050-000106,relationships,cousin
050-000107,relationships,NULL
050-000108,relationships,NULL
050-000109,relationships,other
